File,Tool,Implementation Status,Missing Components
plugins\recon\output_parser\plugin.py,output_parser,Partially implemented,pass
plugins\recon\package\plugin.py,package,Partially implemented,pass
plugins\recon\package-lock\plugin.py,package-lock,Partially implemented,pass
plugins\recon\package-lock_1\plugin.py,package-lock_1,Partially implemented,pass
plugins\recon\package_1\plugin.py,package_1,Partially implemented,pass
plugins\recon\package_2\plugin.py,package_2,Partially implemented,pass
plugins\recon\package_4\plugin.py,package_4,Partially implemented,pass
plugins\recon\package_5\plugin.py,package_5,Partially implemented,pass
plugins\recon\parallel\plugin.py,parallel,Partially implemented,pass
plugins\recon\parallel_scans\plugin.py,parallel_scans,Partially implemented,pass
plugins\recon\parameter_discovery\plugin.py,parameter_discovery,Partially implemented,pass
plugins\recon\parameter_mapper\plugin.py,parameter_mapper,Partially implemented,pass
plugins\recon\paramspider\plugin.py,paramspider,Partially implemented,pass
plugins\recon\parse\plugin.py,parse,Partially implemented,pass
plugins\recon\parsers\plugin.py,parsers,Partially implemented,pass
plugins\recon\parser_mixin\plugin.py,parser_mixin,Partially implemented,pass
plugins\recon\parse_test\plugin.py,parse_test,Partially implemented,pass
plugins\recon\passive\plugin.py,passive,Partially implemented,pass
plugins\recon\passivetotal\plugin.py,passivetotal,Partially implemented,pass
plugins\recon\passive_recon\plugin.py,passive_recon,TODO placeholder,pass
plugins\recon\password_reset_weak\plugin.py,password_reset_weak,Partially implemented,pass
plugins\recon\paths\plugin.py,paths,Partially implemented,pass
plugins\recon\paths_1\plugin.py,paths_1,Partially implemented,pass
plugins\recon\path_traversal\plugin.py,path_traversal,Partially implemented,pass
plugins\recon\payload-crafter\plugin.py,payload-crafter,Partially implemented,pass
plugins\recon\payload_builder\plugin.py,payload_builder,Partially implemented,pass
plugins\recon\pcap_parser\plugin.py,pcap_parser,Partially implemented,pass
plugins\recon\penetration\plugin.py,penetration,Partially implemented,pass
plugins\recon\pentest-ai\plugin.py,pentest-ai,Partially implemented,pass
plugins\recon\pentest-mcp-server\plugin.py,pentest-mcp-server,Partially implemented,pass
plugins\recon\PentestGPT-720WebShareName\plugin.py,PentestGPT-720WebShareName,Partially implemented,pass
plugins\recon\PentestGPT_design\plugin.py,PentestGPT_design,Partially implemented,pass
plugins\recon\pentestGPT_HTB_phonebook_failed\plugin.py,pentestGPT_HTB_phonebook_failed,Partially implemented,pass
plugins\recon\pentestGPT_log_HTB_Precious\plugin.py,pentestGPT_log_HTB_Precious,Partially implemented,pass
plugins\recon\pentesting\plugin.py,pentesting,Partially implemented,pass
plugins\recon\pentest_agent\plugin.py,pentest_agent,Partially implemented,pass
plugins\recon\pentest_gpt\plugin.py,pentest_gpt,Partially implemented,pass
plugins\recon\pentest_gpt_rebuilt\plugin.py,pentest_gpt_rebuilt,Partially implemented,pass
plugins\recon\pent_claude_agent_config\plugin.py,pent_claude_agent_config,Partially implemented,pass
plugins\recon\permutations_list\plugin.py,permutations_list,Partially implemented,pass
plugins\recon\permutations_list_short\plugin.py,permutations_list_short,Partially implemented,pass
plugins\recon\perplexity\plugin.py,perplexity,Partially implemented,pass
plugins\recon\persistence-maintenance\plugin.py,persistence-maintenance,Partially implemented,pass
plugins\recon\persistencetest\plugin.py,persistencetest,Partially implemented,pass
plugins\recon\phishing-operator\plugin.py,phishing-operator,Partially implemented,pass
plugins\recon\pipelines\plugin.py,pipelines,Partially implemented,pass
plugins\recon\pipeline_engine\plugin.py,pipeline_engine,Partially implemented,pass
plugins\recon\planner\plugin.py,planner,Partially implemented,pass
plugins\recon\plan_execute_executor\plugin.py,plan_execute_executor,Partially implemented,pass
plugins\recon\plan_execute_steps_cap\plugin.py,plan_execute_steps_cap,Partially implemented,pass
plugins\recon\plan_execute_steps_cap_test\plugin.py,plan_execute_steps_cap_test,Partially implemented,pass
plugins\recon\plan_execute_text\plugin.py,plan_execute_text,Partially implemented,pass
plugins\recon\plan_execute_text_test\plugin.py,plan_execute_text_test,Partially implemented,pass
plugins\recon\playbook\plugin.py,playbook,Partially implemented,pass
plugins\recon\playwright-config-writer\plugin.py,playwright-config-writer,Partially implemented,pass
plugins\recon\plugin\plugin.py,plugin,Partially implemented,pass
plugins\recon\plugin_1\plugin.py,plugin_1,Partially implemented,pass
plugins\recon\plugin_10\plugin.py,plugin_10,Partially implemented,pass
plugins\recon\plugin_11\plugin.py,plugin_11,Partially implemented,pass
plugins\recon\plugin_12\plugin.py,plugin_12,Partially implemented,pass
plugins\recon\plugin_2\plugin.py,plugin_2,Partially implemented,pass
plugins\recon\plugin_3\plugin.py,plugin_3,Partially implemented,pass
plugins\recon\plugin_4\plugin.py,plugin_4,Partially implemented,pass
plugins\recon\plugin_5\plugin.py,plugin_5,Partially implemented,pass
plugins\recon\plugin_6\plugin.py,plugin_6,Partially implemented,pass
plugins\recon\plugin_7\plugin.py,plugin_7,Partially implemented,pass
plugins\recon\plugin_8\plugin.py,plugin_8,Partially implemented,pass
plugins\recon\plugin_center\plugin.py,plugin_center,Partially implemented,pass
plugins\recon\plugin_loader\plugin.py,plugin_loader,Partially implemented,pass
plugins\recon\plugin_loader_1\plugin.py,plugin_loader_1,Partially implemented,pass
plugins\recon\plugin_manager\plugin.py,plugin_manager,Partially implemented,pass
plugins\recon\pnpm-workspace\plugin.py,pnpm-workspace,Partially implemented,pass
plugins\recon\poc_agent\plugin.py,poc_agent,Partially implemented,pass
plugins\recon\pom\plugin.py,pom,Partially implemented,pass
plugins\recon\portscan\plugin.py,portscan,Partially implemented,pass
plugins\recon\portscan-all-tcp-ports\plugin.py,portscan-all-tcp-ports,Partially implemented,pass
plugins\recon\portscan-guess-tcp-ports\plugin.py,portscan-guess-tcp-ports,Partially implemented,pass
plugins\recon\portscan-top-100-udp-ports\plugin.py,portscan-top-100-udp-ports,Partially implemented,pass
plugins\recon\portscan-top-tcp-ports\plugin.py,portscan-top-tcp-ports,Partially implemented,pass
plugins\recon\port_prioritizer\plugin.py,port_prioritizer,Partially implemented,pass
plugins\recon\PostgreSQLInjection\plugin.py,PostgreSQLInjection,Partially implemented,pass
plugins\recon\postman_parser\plugin.py,postman_parser,Partially implemented,pass
plugins\recon\pre-commit-config\plugin.py,pre-commit-config,Partially implemented,pass
plugins\recon\pre-commit-config_1\plugin.py,pre-commit-config_1,Partially implemented,pass
plugins\recon\pre-recon\plugin.py,pre-recon,Partially implemented,pass
plugins\recon\pre-recon-code_2\plugin.py,pre-recon-code_2,Partially implemented,pass
plugins\recon\pre-recon-code_3\plugin.py,pre-recon-code_3,Partially implemented,pass
plugins\recon\preflight\plugin.py,preflight,Partially implemented,pass
plugins\recon\preflight-check\plugin.py,preflight-check,Partially implemented,pass
plugins\recon\print\plugin.py,print,Partially implemented,pass
plugins\recon\PRIVACY\plugin.py,PRIVACY,Partially implemented,pass
plugins\recon\privilege-escalation\plugin.py,privilege-escalation,Partially implemented,pass
plugins\recon\privilege_escalation_patch\plugin.py,privilege_escalation_patch,Partially implemented,pass
plugins\recon\probes\plugin.py,probes,Partially implemented,pass
plugins\recon\process\plugin.py,process,Partially implemented,pass
plugins\recon\process_registry\plugin.py,process_registry,Partially implemented,pass
plugins\recon\production\plugin.py,production,Partially implemented,pass
plugins\recon\profundis\plugin.py,profundis,Partially implemented,pass
plugins\recon\progress-indicator\plugin.py,progress-indicator,Partially implemented,pass
plugins\recon\progress-manager\plugin.py,progress-manager,Partially implemented,pass
plugins\recon\project_manager\plugin.py,project_manager,Partially implemented,pass
plugins\recon\prompt-manager\plugin.py,prompt-manager,Partially implemented,pass
plugins\recon\prompts\plugin.py,prompts,Partially implemented,pass
plugins\recon\prompt_class_v1\plugin.py,prompt_class_v1,Partially implemented,pass
plugins\recon\prompt_class_v2\plugin.py,prompt_class_v2,Partially implemented,pass
plugins\recon\prompt_select\plugin.py,prompt_select,Partially implemented,pass
plugins\recon\prospeo\plugin.py,prospeo,Partially implemented,pass
plugins\recon\protocol_detector\plugin.py,protocol_detector,Partially implemented,pass
plugins\recon\prototype_pollution\plugin.py,prototype_pollution,Partially implemented,pass
plugins\recon\proxy_controller\plugin.py,proxy_controller,Partially implemented,pass
plugins\recon\pseudo-source-builder\plugin.py,pseudo-source-builder,Partially implemented,pass
plugins\recon\ptt_reasoning\plugin.py,ptt_reasoning,Partially implemented,pass
plugins\recon\pugrecon\plugin.py,pugrecon,Partially implemented,pass
plugins\recon\PULL_REQUEST_TEMPLATE\plugin.py,PULL_REQUEST_TEMPLATE,Partially implemented,pass
plugins\recon\PULL_REQUEST_TEMPLATE_2\plugin.py,PULL_REQUEST_TEMPLATE_2,Partially implemented,pass
plugins\recon\puredns\plugin.py,puredns,Partially implemented,pass
plugins\recon\puredns_tool\plugin.py,puredns_tool,Partially implemented,pass
plugins\recon\pure_go\plugin.py,pure_go,Partially implemented,pass
plugins\recon\pwninit\plugin.py,pwninit,Partially implemented,pass
plugins\recon\pyproject\plugin.py,pyproject,Partially implemented,pass
plugins\recon\pyproject_2\plugin.py,pyproject_2,Partially implemented,pass
plugins\recon\pyproject_4\plugin.py,pyproject_4,Partially implemented,pass
plugins\recon\pyproject_5\plugin.py,pyproject_5,Partially implemented,pass
plugins\recon\pyshark_engine\plugin.py,pyshark_engine,Partially implemented,pass
plugins\recon\pythonorg_headers_20241216_000049\plugin.py,pythonorg_headers_20241216_000049,Partially implemented,pass
plugins\recon\pythonorg_subdomains_20241215_235829\plugin.py,pythonorg_subdomains_20241215_235829,Partially implemented,pass
plugins\recon\quake\plugin.py,quake,Partially implemented,pass
plugins\recon\quake_search\plugin.py,quake_search,Partially implemented,pass
plugins\recon\queue\plugin.py,queue,Partially implemented,pass
plugins\recon\queue-validator\plugin.py,queue-validator,Partially implemented,pass
plugins\recon\quick_action_bar\plugin.py,quick_action_bar,Partially implemented,pass
plugins\recon\race_condition\plugin.py,race_condition,Partially implemented,pass
plugins\recon\radare2\plugin.py,radare2,Partially implemented,pass
plugins\recon\ranger\plugin.py,ranger,Partially implemented,pass
plugins\recon\rapiddns\plugin.py,rapiddns,Partially implemented,pass
plugins\recon\rapiddns_2\plugin.py,rapiddns_2,Partially implemented,pass
plugins\recon\ratelimit_test\plugin.py,ratelimit_test,Partially implemented,pass
plugins\recon\rdap\plugin.py,rdap,Partially implemented,pass
plugins\recon\reactive-verifier\plugin.py,reactive-verifier,Partially implemented,pass
plugins\recon\README\plugin.py,README,Partially implemented,pass
plugins\recon\READMEzh-CN\plugin.py,READMEzh-CN,Partially implemented,pass
plugins\recon\README_1\plugin.py,README_1,Partially implemented,pass
plugins\recon\README_10\plugin.py,README_10,Partially implemented,pass
plugins\recon\README_11\plugin.py,README_11,Partially implemented,pass
plugins\recon\README_12\plugin.py,README_12,Partially implemented,pass
plugins\recon\README_13\plugin.py,README_13,Partially implemented,pass
plugins\recon\README_14\plugin.py,README_14,Partially implemented,pass
plugins\recon\README_15\plugin.py,README_15,Partially implemented,pass
plugins\recon\README_16\plugin.py,README_16,Partially implemented,pass
plugins\recon\README_17\plugin.py,README_17,Partially implemented,pass
plugins\recon\README_18\plugin.py,README_18,Partially implemented,pass
plugins\recon\README_2\plugin.py,README_2,Partially implemented,pass
plugins\recon\README_20\plugin.py,README_20,Partially implemented,pass
plugins\recon\README_23\plugin.py,README_23,Partially implemented,pass
plugins\recon\README_24\plugin.py,README_24,Partially implemented,pass
plugins\recon\README_25\plugin.py,README_25,Partially implemented,pass
plugins\recon\README_26\plugin.py,README_26,Partially implemented,pass
plugins\recon\README_27\plugin.py,README_27,Partially implemented,pass
plugins\recon\README_3\plugin.py,README_3,Partially implemented,pass
plugins\recon\README_31\plugin.py,README_31,Partially implemented,pass
plugins\recon\README_32\plugin.py,README_32,Partially implemented,pass
plugins\recon\README_33\plugin.py,README_33,Partially implemented,pass
plugins\recon\README_34\plugin.py,README_34,Partially implemented,pass
plugins\recon\README_35\plugin.py,README_35,Partially implemented,pass
plugins\recon\README_36\plugin.py,README_36,Partially implemented,pass
plugins\recon\README_38\plugin.py,README_38,Partially implemented,pass
plugins\recon\README_39\plugin.py,README_39,Partially implemented,pass
plugins\recon\README_4\plugin.py,README_4,Partially implemented,pass
plugins\recon\README_40\plugin.py,README_40,Partially implemented,pass
plugins\recon\README_41\plugin.py,README_41,Partially implemented,pass
plugins\recon\README_42\plugin.py,README_42,Partially implemented,pass
plugins\recon\README_43\plugin.py,README_43,Partially implemented,pass
plugins\recon\README_44\plugin.py,README_44,Partially implemented,pass
plugins\recon\README_45\plugin.py,README_45,Partially implemented,pass
plugins\recon\README_47\plugin.py,README_47,Partially implemented,pass
plugins\recon\README_48\plugin.py,README_48,Partially implemented,pass
plugins\recon\README_49\plugin.py,README_49,Partially implemented,pass
plugins\recon\README_5\plugin.py,README_5,Partially implemented,pass
plugins\recon\README_50\plugin.py,README_50,Partially implemented,pass
plugins\recon\README_51\plugin.py,README_51,Partially implemented,pass
plugins\recon\README_52\plugin.py,README_52,Partially implemented,pass
plugins\recon\README_53\plugin.py,README_53,Partially implemented,pass
plugins\recon\README_54\plugin.py,README_54,Partially implemented,pass
plugins\recon\README_55\plugin.py,README_55,Partially implemented,pass
plugins\recon\README_57\plugin.py,README_57,Partially implemented,pass
plugins\recon\README_58\plugin.py,README_58,Partially implemented,pass
plugins\recon\README_6\plugin.py,README_6,Partially implemented,pass
plugins\recon\README_7\plugin.py,README_7,Partially implemented,pass
plugins\recon\README_8\plugin.py,README_8,Partially implemented,pass
plugins\recon\README_9\plugin.py,README_9,Partially implemented,pass
plugins\recon\README_CN\plugin.py,README_CN,Partially implemented,pass
plugins\recon\README_CN_1\plugin.py,README_CN_1,Partially implemented,pass
plugins\recon\README_CN_2\plugin.py,README_CN_2,Partially implemented,pass
plugins\recon\README_CN_3\plugin.py,README_CN_3,Partially implemented,pass
plugins\recon\README_EN\plugin.py,README_EN,Partially implemented,pass
plugins\recon\realdemo\plugin.py,realdemo,Partially implemented,pass
plugins\recon\realdemo-paced\plugin.py,realdemo-paced,Partially implemented,pass
plugins\recon\reasoning_trace\plugin.py,reasoning_trace,Partially implemented,pass
plugins\recon\reasoning_trace_test\plugin.py,reasoning_trace_test,Partially implemented,pass
plugins\recon\recommend\plugin.py,recommend,Partially implemented,pass
plugins\recon\recommendation_engine\plugin.py,recommendation_engine,Partially implemented,pass
plugins\recon\recommendation_engine_1\plugin.py,recommendation_engine_1,Partially implemented,pass
plugins\recon\recon\plugin.py,recon,Partially implemented,pass
plugins\recon\recon-advisor\plugin.py,recon-advisor,Partially implemented,pass
plugins\recon\reconeer\plugin.py,reconeer,Partially implemented,pass
plugins\recon\reconftw\plugin.py,reconftw,Partially implemented,pass
plugins\recon\reconftw_1\plugin.py,reconftw_1,Partially implemented,pass
plugins\recon\reconftw_full\plugin.py,reconftw_full,Partially implemented,pass
plugins\recon\reconftw_prox_deploy\plugin.py,reconftw_prox_deploy,Partially implemented,pass
plugins\recon\reconftw_quick\plugin.py,reconftw_quick,Partially implemented,pass
plugins\recon\reconftw_stealth\plugin.py,reconftw_stealth,Partially implemented,pass
plugins\recon\reconx_engine\plugin.py,reconx_engine,Partially implemented,pass
plugins\recon\recon_2\plugin.py,recon_2,Partially implemented,pass
plugins\recon\recon_3\plugin.py,recon_3,Partially implemented,pass
plugins\recon\recon_agent\plugin.py,recon_agent,Partially implemented,pass
plugins\recon\recon_strategy\plugin.py,recon_strategy,Partially implemented,pass
plugins\recon\recorder\plugin.py,recorder,Partially implemented,pass
plugins\recon\redhuntlabs\plugin.py,redhuntlabs,Partially implemented,pass
plugins\recon\redirect-host-discovery\plugin.py,redirect-host-discovery,Partially implemented,pass
plugins\recon\redis-cli\plugin.py,redis-cli,Partially implemented,pass
plugins\recon\REFERENCE\plugin.py,REFERENCE,Partially implemented,pass
plugins\recon\reflected_xss\plugin.py,reflected_xss,Partially implemented,pass
plugins\recon\registry\plugin.py,registry,Partially implemented,pass
plugins\recon\registry_1\plugin.py,registry_1,Partially implemented,pass
plugins\recon\registry_121\plugin.py,registry_121,Partially implemented,pass
plugins\recon\registry_122\plugin.py,registry_122,Partially implemented,pass
plugins\recon\registry_123\plugin.py,registry_123,Partially implemented,pass
plugins\recon\registry_181\plugin.py,registry_181,Partially implemented,pass
plugins\recon\registry_182\plugin.py,registry_182,Partially implemented,pass
plugins\recon\registry_2\plugin.py,registry_2,Partially implemented,pass
plugins\recon\registry_3\plugin.py,registry_3,Partially implemented,pass
plugins\recon\registry_4\plugin.py,registry_4,Partially implemented,pass
plugins\recon\registry_5\plugin.py,registry_5,Partially implemented,pass
plugins\recon\registry_8\plugin.py,registry_8,Partially implemented,pass
plugins\recon\registry_bridge\plugin.py,registry_bridge,Partially implemented,pass
plugins\recon\registry_test\plugin.py,registry_test,Partially implemented,pass
plugins\recon\reg_records\plugin.py,reg_records,Partially implemented,pass
plugins\recon\related\plugin.py,related,Partially implemented,pass
plugins\recon\relationship_graph\plugin.py,relationship_graph,Partially implemented,pass
plugins\recon\relationship_mapper\plugin.py,relationship_mapper,Partially implemented,pass
plugins\recon\release\plugin.py,release,Partially implemented,pass
plugins\recon\release-binary\plugin.py,release-binary,Partially implemented,pass
plugins\recon\release-pypi\plugin.py,release-pypi,Partially implemented,pass
plugins\recon\release-test\plugin.py,release-test,Partially implemented,pass
plugins\recon\releaserc\plugin.py,releaserc,Partially implemented,pass
plugins\recon\remediation-agent\plugin.py,remediation-agent,Partially implemented,pass
plugins\recon\renderer\plugin.py,renderer,Partially implemented,pass
plugins\recon\renderers\plugin.py,renderers,Partially implemented,pass
plugins\recon\replay\plugin.py,replay,Partially implemented,pass
plugins\recon\replay_engine\plugin.py,replay_engine,Partially implemented,pass
plugins\recon\report-executive_1\plugin.py,report-executive_1,Partially implemented,pass
plugins\recon\report-executive_2\plugin.py,report-executive_2,Partially implemented,pass
plugins\recon\report-output-provider\plugin.py,report-output-provider,Partially implemented,pass
plugins\recon\report-snippet\plugin.py,report-snippet,Partially implemented,pass
plugins\recon\reporter\plugin.py,reporter,Partially implemented,pass
plugins\recon\reporthtml\plugin.py,reporthtml,Partially implemented,pass
plugins\recon\reporting-cherrytree\plugin.py,reporting-cherrytree,Partially implemented,pass
plugins\recon\reporting-markdown\plugin.py,reporting-markdown,Partially implemented,pass
plugins\recon\reporting-remediation\plugin.py,reporting-remediation,Partially implemented,pass
plugins\recon\report_121\plugin.py,report_121,Partially implemented,pass
plugins\recon\report_14\plugin.py,report_14,Partially implemented,pass
plugins\recon\report_15\plugin.py,report_15,Partially implemented,pass
plugins\recon\report_16\plugin.py,report_16,Partially implemented,pass
plugins\recon\report_17\plugin.py,report_17,Partially implemented,pass
plugins\recon\report_18\plugin.py,report_18,Partially implemented,pass
plugins\recon\report_agent\plugin.py,report_agent,Partially implemented,pass
plugins\recon\report_generator\plugin.py,report_generator,Partially implemented,pass
plugins\recon\report_injector\plugin.py,report_injector,Partially implemented,pass
plugins\recon\report_injector_1\plugin.py,report_injector_1,Partially implemented,pass
plugins\recon\report_injector_2\plugin.py,report_injector_2,Partially implemented,pass
plugins\recon\requirements\plugin.py,requirements,Partially implemented,pass
plugins\recon\requirements_11\plugin.py,requirements_11,Partially implemented,pass
plugins\recon\requirements_12\plugin.py,requirements_12,Partially implemented,pass
plugins\recon\requirements_14\plugin.py,requirements_14,Partially implemented,pass
plugins\recon\requirements_15\plugin.py,requirements_15,Partially implemented,pass
plugins\recon\requirements_16\plugin.py,requirements_16,Partially implemented,pass
plugins\recon\requirements_2\plugin.py,requirements_2,Partially implemented,pass
plugins\recon\requirements_3\plugin.py,requirements_3,Partially implemented,pass
plugins\recon\requirements_5\plugin.py,requirements_5,Partially implemented,pass
plugins\recon\requirements_6\plugin.py,requirements_6,Partially implemented,pass
plugins\recon\requirements_8\plugin.py,requirements_8,Partially implemented,pass
plugins\recon\requirements_9\plugin.py,requirements_9,Partially implemented,pass
plugins\recon\reset_juice_shop\plugin.py,reset_juice_shop,Partially implemented,pass
plugins\recon\resilience\plugin.py,resilience,Partially implemented,pass
plugins\recon\resiliencetest\plugin.py,resiliencetest,Partially implemented,pass
plugins\recon\resolve\plugin.py,resolve,Partially implemented,pass
plugins\recon\resolvers\plugin.py,resolvers,Partially implemented,pass
plugins\recon\resolvers_1\plugin.py,resolvers_1,Partially implemented,pass
plugins\recon\resolvers_test\plugin.py,resolvers_test,Partially implemented,pass
plugins\recon\resolver_manager\plugin.py,resolver_manager,Partially implemented,pass
plugins\recon\resources\plugin.py,resources,Partially implemented,pass
plugins\recon\resource_availability\plugin.py,resource_availability,Partially implemented,pass
plugins\recon\responder\plugin.py,responder,Partially implemented,pass
plugins\recon\response_headers\plugin.py,response_headers,Partially implemented,pass
plugins\recon\RESPONSIBLE_DISCLOSURE\plugin.py,RESPONSIBLE_DISCLOSURE,Partially implemented,pass
plugins\recon\rest_api\plugin.py,rest_api,Partially implemented,pass
plugins\recon\result\plugin.py,result,Partially implemented,pass
plugins\recon\retrieval_postprocess\plugin.py,retrieval_postprocess,Partially implemented,pass
plugins\recon\retrieval_postprocess_test\plugin.py,retrieval_postprocess_test,Partially implemented,pass
plugins\recon\retry\plugin.py,retry,Partially implemented,pass
plugins\recon\reverse\plugin.py,reverse,Partially implemented,pass
plugins\recon\reverse-engineer\plugin.py,reverse-engineer,Partially implemented,pass
plugins\recon\review\plugin.py,review,Partially implemented,pass
plugins\recon\riddler\plugin.py,riddler,Partially implemented,pass
plugins\recon\rigid\plugin.py,rigid,Partially implemented,pass
plugins\recon\rigid_test\plugin.py,rigid_test,Partially implemented,pass
plugins\recon\risk_mapper\plugin.py,risk_mapper,Partially implemented,pass
plugins\recon\risk_scorer\plugin.py,risk_scorer,Partially implemented,pass
plugins\recon\risk_scoring\plugin.py,risk_scoring,Partially implemented,pass
plugins\recon\ROADMAP\plugin.py,ROADMAP,Partially implemented,pass
plugins\recon\robot\plugin.py,robot,Partially implemented,pass
plugins\recon\robot_en\plugin.py,robot_en,Partially implemented,pass
plugins\recon\robtext\plugin.py,robtext,Partially implemented,pass
plugins\recon\role\plugin.py,role,Partially implemented,pass
plugins\recon\roles\plugin.py,roles,Partially implemented,pass
plugins\recon\rollback-beta\plugin.py,rollback-beta,Partially implemented,pass
plugins\recon\router\plugin.py,router,Partially implemented,pass
plugins\recon\route_correlator\plugin.py,route_correlator,Partially implemented,pass
plugins\recon\rpcclient\plugin.py,rpcclient,Partially implemented,pass
plugins\recon\rpcdump\plugin.py,rpcdump,Partially implemented,pass
plugins\recon\rsync-list-files\plugin.py,rsync-list-files,Partially implemented,pass
plugins\recon\run\plugin.py,run,Partially implemented,pass
plugins\recon\run-shannon-blackbox\plugin.py,run-shannon-blackbox,Partially implemented,pass
plugins\recon\RunCommand\plugin.py,RunCommand,Partially implemented,pass
plugins\recon\runner\plugin.py,runner,Partially implemented,pass
plugins\recon\runner_1\plugin.py,runner_1,Partially implemented,pass
plugins\recon\runner_3\plugin.py,runner_3,Partially implemented,pass
plugins\recon\runner_reasoning_history_test\plugin.py,runner_reasoning_history_test,Partially implemented,pass
plugins\recon\run_all\plugin.py,run_all,Partially implemented,pass
plugins\recon\run_bench\plugin.py,run_bench,Partially implemented,pass
plugins\recon\run_benchmarks\plugin.py,run_benchmarks,Partially implemented,pass
plugins\recon\run_context\plugin.py,run_context,Partially implemented,pass
plugins\recon\run_dvwa_engagement\plugin.py,run_dvwa_engagement,Partially implemented,pass
plugins\recon\run_dvwa_full\plugin.py,run_dvwa_full,Partially implemented,pass
plugins\recon\run_summary\plugin.py,run_summary,Partially implemented,pass
plugins\recon\run_summary_1\plugin.py,run_summary_1,Partially implemented,pass
plugins\recon\run_tests\plugin.py,run_tests,Partially implemented,pass
plugins\recon\rustscan\plugin.py,rustscan,Partially implemented,pass
plugins\recon\rustscan_2\plugin.py,rustscan_2,Partially implemented,pass
plugins\recon\rustscan_tool\plugin.py,rustscan_tool,Partially implemented,pass
plugins\recon\saml_xsw\plugin.py,saml_xsw,Partially implemented,pass
plugins\recon\sandbox\plugin.py,sandbox,Partially implemented,pass
plugins\recon\sanitize\plugin.py,sanitize,Partially implemented,pass
plugins\recon\save-deliverable\plugin.py,save-deliverable,Partially implemented,pass
plugins\recon\save_results\plugin.py,save_results,Partially implemented,pass
plugins\recon\scan4all\plugin.py,scan4all,Fully implemented,
plugins\recon\scanners\plugin.py,scanners,Partially implemented,pass
plugins\recon\scanner_5\plugin.py,scanner_5,Partially implemented,pass
plugins\recon\scan_optimizer\plugin.py,scan_optimizer,Partially implemented,pass
plugins\recon\scheduler\plugin.py,scheduler,Partially implemented,pass
plugins\recon\schedulertest\plugin.py,schedulertest,Partially implemented,pass
plugins\recon\scheduler_2\plugin.py,scheduler_2,Partially implemented,pass
plugins\recon\schema-gen-agent\plugin.py,schema-gen-agent,Partially implemented,pass
plugins\recon\schemas\plugin.py,schemas,Partially implemented,pass
plugins\recon\schemas_1\plugin.py,schemas_1,Partially implemented,pass
plugins\recon\scope\plugin.py,scope,Partially implemented,pass
plugins\recon\scope_1\plugin.py,scope_1,Partially implemented,pass
plugins\recon\scope_test\plugin.py,scope_test,Partially implemented,pass
plugins\recon\SCORE\plugin.py,SCORE,Partially implemented,pass
plugins\recon\SCORE_1\plugin.py,SCORE_1,Partially implemented,pass
plugins\recon\SCORE_2\plugin.py,SCORE_2,Partially implemented,pass
plugins\recon\score_juiceshop\plugin.py,score_juiceshop,Partially implemented,pass
plugins\recon\Screenshot1\plugin.py,Screenshot1,Partially implemented,pass
plugins\recon\search\plugin.py,search,Partially implemented,pass
plugins\recon\search_2\plugin.py,search_2,Partially implemented,pass
plugins\recon\secretscfg\plugin.py,secretscfg,Partially implemented,pass
plugins\recon\SECURITY\plugin.py,SECURITY,Partially implemented,pass
plugins\recon\security-header-analyzer\plugin.py,security-header-analyzer,Partially implemented,pass
plugins\recon\SecurityHeaderAnalyzer\plugin.py,SecurityHeaderAnalyzer,Partially implemented,pass
plugins\recon\SecurityHeaderAnalyzertest\plugin.py,SecurityHeaderAnalyzertest,Partially implemented,pass
plugins\recon\securitytrails\plugin.py,securitytrails,Partially implemented,pass
plugins\recon\securitytrails_2\plugin.py,securitytrails_2,Partially implemented,pass
plugins\recon\SECURITY_2\plugin.py,SECURITY_2,Partially implemented,pass
plugins\recon\security_tools\plugin.py,security_tools,Partially implemented,pass
plugins\recon\sensitive_detector\plugin.py,sensitive_detector,Partially implemented,pass
plugins\recon\sensitive_domains\plugin.py,sensitive_domains,Partially implemented,pass
plugins\recon\server\plugin.py,server,Partially implemented,pass
plugins\recon\server_1\plugin.py,server_1,Partially implemented,pass
plugins\recon\server_2\plugin.py,server_2,Partially implemented,pass
plugins\recon\server_3\plugin.py,server_3,Partially implemented,pass
plugins\recon\server_https_bootstrap\plugin.py,server_https_bootstrap,Partially implemented,pass
plugins\recon\service\plugin.py,service,Partially implemented,pass
plugins\recon\services_commands\plugin.py,services_commands,Partially implemented,pass
plugins\recon\service_1\plugin.py,service_1,Partially implemented,pass
plugins\recon\service_correlator\plugin.py,service_correlator,Partially implemented,pass
plugins\recon\service_detection\plugin.py,service_detection,Fully implemented,
plugins\recon\service_intelligence_view\plugin.py,service_intelligence_view,Partially implemented,pass
plugins\recon\service_learning\plugin.py,service_learning,Partially implemented,pass
plugins\recon\session\plugin.py,session,Partially implemented,pass
plugins\recon\sessions\plugin.py,sessions,Partially implemented,pass
plugins\recon\session_manager\plugin.py,session_manager,Partially implemented,pass
plugins\recon\settings\plugin.py,settings,Partially implemented,pass
plugins\recon\settings_1\plugin.py,settings_1,Partially implemented,pass
plugins\recon\settings_3\plugin.py,settings_3,Partially implemented,pass
plugins\recon\settings_4\plugin.py,settings_4,Partially implemented,pass
plugins\recon\setup_2\plugin.py,setup_2,Partially implemented,pass
