Repository,Tier
test_probe_leaked_credentials,Tier 1
test_probe_nosql_fuzz,Tier 1
test_probe_oauth_pkce_downgrade,Tier 1
test_probe_response_headers,Tier 1
test_probe_sqli_fuzz,Tier 1
test_probe_ssti_fuzz,Tier 1
test_probe_ssti_polyglot,Tier 1
test_probe_xss_fuzz,Tier 1
test_registry_coverage,Tier 1
test_registry_extended,Tier 1
test_reporting,Tier 5
test_report_only,Tier 5
test_resolvers_external,Tier 1
test_resolvers_hardening,Tier 5
test_sanitize,Tier 5
test_scanners,Tier 2
test_severity_calibration,Tier 2
test_shell_syntax,Tier 5
test_smoke,Tier 5
test_stage121_integration,Tier 1
test_stage122_integration,Tier 1
test_stage123_integration,Tier 1
test_stage13_orchestration,Tier 1
test_stage14_tui,Tier 1
test_stage15_plugins,Tier 1
test_stage181_burp,Tier 1
test_stage182_traffic,Tier 1
test_stage19_plugins,Tier 1
test_stage2,Tier 1
test_stage20_services,Tier 1
test_stealth_crawler,Tier 2
test_subdomains_asn,Tier 5
test_subdomains_filtering,Tier 5
test_sub_tls_no_match,Tier 5
test_terminal_output_modes,Tier 5
test_tool_bridge,Tier 2
test_tool_bridge_e2e,Tier 2
test_tool_installer,Tier 2
test_tool_installer_coverage,Tier 2
test_tool_installer_extended,Tier 1
test_tool_result_persistence,Tier 2
test_ui_snapshots,Tier 5
test_utils,Tier 5
test_validation,Tier 5
test_vps_count_cli,Tier 5
test_webprobe_full_formats,Tier 5
test_web_agent_crawl_inject,Tier 4
THANKS,Tier 5
thc,Tier 1
theharvester,Tier 1
threat-modeler,Tier 5
threatbook,Tier 1
threatcrowd,Tier 1
threatcrowd_2,Tier 1
threatminer,Tier 1
throttle,Tier 1
TIER2-EXECUTION,Tier 5
TIMELINE,Tier 5
tlsx,Tier 1
tls_cert,Tier 1
tls_cert_1,Tier 1
tls_fingerprint,Tier 1
tool-checker,Tier 2
tool-responses,Tier 1
tool-runner,Tier 1
tools,Tier 1
tool_bridge,Tier 2
tool_browser,Tier 1
tool_chains,Tier 4
tool_health,Tier 1
tool_installer,Tier 1
tool_lessons,Tier 1
tool_registry,Tier 1
tool_result,Tier 1
tool_schemas,Tier 1
tool_versions,Tier 5
traffic_commands,Tier 1
traffic_view,Tier 1
train-archnet,Tier 5
training-data-2025-12-24T03-29-17-267Z,Tier 5
training-data-2025-12-24T03-31-48-760Z,Tier 5
training-data-2025-12-24T04-13-25-236Z,Tier 5
training-data-2025-12-24T04-32-35-147Z,Tier 5
training-data-2025-12-24T04-43-48-405Z,Tier 5
transform,Tier 1
transform_test,Tier 1
transparentbanner,Tier 5
triage,Tier 5
triage-results,Tier 5
triage-rubric,Tier 5
triage-summary,Tier 5
triage_sample,Tier 2
tshark,Tier 5
tshark_engine,Tier 1
txt,Tier 1
txt_1,Tier 1
type,Tier 1
types_1,Tier 1
types_2,Tier 2
types_6,Tier 1
types_9,Tier 1
unauthed-findings,Tier 5
unauthed-findings_1,Tier 5
url,Tier 1
urlscan_2,Tier 2
uv_1,Tier 5
validate_2,Tier 1
validator,Tier 2
vars,Tier 2
vault,Tier 1
version,Tier 2
viewport,Tier 5
virtual-host-enumeration,Tier 1
virustotal,Tier 1
virustotal_1,Tier 1
virustotal_3,Tier 1
viz,Tier 1
vuln-hypothesizer,Tier 5
vuln-scanner,Tier 5
vuln-ssrf,Tier 5
vuln-ssrf_2,Tier 5
vulnerability_concepts,Tier 5
vuln_analysis,Tier 5
waybackarchive,Tier 1
waybackurls_2,Tier 5
wayback_1,Tier 1
waymore,Tier 1
web,Tier 2
web-app-quick,Tier 5
web-hunter,Tier 5
webhook-reporter,Tier 2
webshell-management,Tier 5
websocket,Tier 2
web_agent,Tier 4
web_assets,Tier 5
web_cache_deception,Tier 2
web_enum,Tier 2
web_pipeline,Tier 2
web_recon,Tier 5
whoisxmlapi,Tier 1
whois_lookup,Tier 1
wildcard_detector,Tier 1
windvane,Tier 1
wireless-pentester,Tier 5
workflow_builder,Tier 1
workflow_definitions,Tier 1
workflow_planner,Tier 1
workflow_player,Tier 1
workflow_recorder,Tier 1
workflow_templates,Tier 1
workspaces_1,Tier 1
world-model,Tier 5
WorldModel,Tier 1
WorldModeltest,Tier 1
xbow-performance-comparison,Tier 5
xss,Tier 5
xss-validator-agent,Tier 4
xss_fuzz,Tier 1
xss_scan,Tier 5
zetalytics,Tier 1
zoomeyeapi,Tier 1
zoomeye_search,Tier 5
_11,Tier 5
_12,Tier 5
_15,Tier 5
_scope-guard,Tier 5
__init___105,Tier 1
__init___106,Tier 1
__init___107,Tier 1
__init___117,Tier 1
__init___121,Tier 1
__init___122,Tier 1
__init___129,Tier 1
__init___135,Tier 2
__init___148,Tier 1
__init___149,Tier 1
__init___156,Tier 1
__init___218,Tier 2
__init___30,Tier 1
__init___33,Tier 1
__init___35,Tier 2
__init___36,Tier 1
__init___37,Tier 1
__init___54,Tier 1
__main___1,Tier 4
vuln-authz_1,Tier 5
vuln-auth_1,Tier 5
vuln-injection_1,Tier 5
exploit,Tier 2
exploit-injection_2,Tier 5
vulns,Tier 2
vuln_correlator,Tier 2
vuln_pipeline,Tier 2
vuln_scanner_agent,Tier 4
API,Tier 5
INSTALL,Tier 5
sqlmap,Tier 5
summary,Tier 5
