Repository,Integration Difficulty,Maintenance Cost,Dependency Complexity,Execution Complexity
check-env,Extreme,Extreme,Extreme,Extreme
client_2,Extreme,Extreme,Extreme,Extreme
client_sdk,Extreme,Extreme,Extreme,Extreme
codeclimate,Extreme,Extreme,Extreme,Extreme
config_4,Extreme,Extreme,Extreme,Extreme
curl-known-security,Extreme,Extreme,Extreme,Extreme
curl-robots,Extreme,Extreme,Extreme,Extreme
CyberStrikeAIClient1,Extreme,Extreme,Extreme,Extreme
datasrcs_test,Extreme,Extreme,Extreme,Extreme
deepsource,Extreme,Extreme,Extreme,Extreme
dependabot_2,Extreme,Extreme,Extreme,Extreme
eino_retrieve_chain_test,Extreme,Extreme,Extreme,Extreme
entrypoint_1,Extreme,Extreme,Extreme,Extreme
enum4linux,Extreme,Extreme,Extreme,Extreme
envexpand,Extreme,Extreme,Extreme,Extreme
env_1,Extreme,Extreme,Extreme,Extreme
error,Extreme,Extreme,Extreme,Extreme
eslintconfig,Extreme,Extreme,Extreme,Extreme
execute-python-script,Extreme,Extreme,Extreme,Extreme
external_manager,Extreme,Extreme,Extreme,Extreme
external_manager_test,Extreme,Extreme,Extreme,Extreme
external_mcp,Extreme,Extreme,Extreme,Extreme
falco,Extreme,Extreme,Extreme,Extreme
get-arch,Extreme,Extreme,Extreme,Extreme
goreleaser,Extreme,Extreme,Extreme,Extreme
index_14,Extreme,Extreme,Extreme,Extreme
index_7,Extreme,Extreme,Extreme,Extreme
install-python-package,Extreme,Extreme,Extreme,Extreme
issue_importer,Extreme,Extreme,Extreme,Extreme
jaeles,Extreme,Extreme,Extreme,Extreme
ldap-search,Extreme,Extreme,Extreme,Extreme
lint,Extreme,Extreme,Extreme,Extreme
loggercpython-313,Extreme,Extreme,Extreme,Extreme
logger_2,Extreme,Extreme,Extreme,Extreme
lookup-sid,Extreme,Extreme,Extreme,Extreme
main_14,Extreme,Extreme,Extreme,Extreme
main_15,Extreme,Extreme,Extreme,Extreme
main_server_http_redirect,Extreme,Extreme,Extreme,Extreme
main_server_http_redirect_test,Extreme,Extreme,Extreme,Extreme
mcp_reverse_shell,Extreme,Extreme,Extreme,Extreme
meta,Extreme,Extreme,Extreme,Extreme
nbtscan,Extreme,Extreme,Extreme,Extreme
nmap-finger,Extreme,Extreme,Extreme,Extreme
nmap-kerberos,Extreme,Extreme,Extreme,Extreme
nmap-msrpc,Extreme,Extreme,Extreme,Extreme
nmap-nntp,Extreme,Extreme,Extreme,Extreme
nmap-redis,Extreme,Extreme,Extreme,Extreme
nmap-rmi,Extreme,Extreme,Extreme,Extreme
nmap-sip,Extreme,Extreme,Extreme,Extreme
nmap-ssh,Extreme,Extreme,Extreme,Extreme
nmap-telnet,Extreme,Extreme,Extreme,Extreme
nmap-tftp,Extreme,Extreme,Extreme,Extreme
nmap_tool_1,Extreme,Extreme,Extreme,Extreme
onesixtyone,Extreme,Extreme,Extreme,Extreme
oracle-odat,Extreme,Extreme,Extreme,Extreme
oracle-scanner,Extreme,Extreme,Extreme,Extreme
oracle-tnscmd,Extreme,Extreme,Extreme,Extreme
parallel_scans,Extreme,Extreme,Extreme,Extreme
paths,Extreme,Extreme,Extreme,Extreme
portscan-top-tcp-ports,Extreme,Extreme,Extreme,Extreme
pre-commit-config_1,Extreme,Extreme,Extreme,Extreme
process_registry,Extreme,Extreme,Extreme,Extreme
pyproject_5,Extreme,Extreme,Extreme,Extreme
README_CN,Extreme,Extreme,Extreme,Extreme
README_CN_2,Extreme,Extreme,Extreme,Extreme
reconFTW,Extreme,Extreme,Extreme,Extreme
redirect-host-discovery,Extreme,Extreme,Extreme,Extreme
redis-cli,Extreme,Extreme,Extreme,Extreme
registry_2,Extreme,Extreme,Extreme,Extreme
release,Extreme,Extreme,Extreme,Extreme
requirements_14,Extreme,Extreme,Extreme,Extreme
requirements_15,Extreme,Extreme,Extreme,Extreme
requirements_5,Extreme,Extreme,Extreme,Extreme
resiliencetest,Extreme,Extreme,Extreme,Extreme
resolvers_test,Extreme,Extreme,Extreme,Extreme
resources,Extreme,Extreme,Extreme,Extreme
retrieval_postprocess_test,Extreme,Extreme,Extreme,Extreme
rigid,Extreme,Extreme,Extreme,Extreme
rigid_test,Extreme,Extreme,Extreme,Extreme
rpcclient,Extreme,Extreme,Extreme,Extreme
rpcdump,Extreme,Extreme,Extreme,Extreme
rsync-list-files,Extreme,Extreme,Extreme,Extreme
run,Extreme,Extreme,Extreme,Extreme
run-shannon-blackbox,Extreme,Extreme,Extreme,Extreme
run_all,Extreme,Extreme,Extreme,Extreme
run_bench,Extreme,Extreme,Extreme,Extreme
rustscan,Extreme,Extreme,Extreme,Extreme
rustscan_tool,Extreme,Extreme,Extreme,Extreme
server_https_bootstrap,Extreme,Extreme,Extreme,Extreme
shannon,Extreme,Extreme,Extreme,Extreme
showmount,Extreme,Extreme,Extreme,Extreme
sipvicious,Extreme,Extreme,Extreme,Extreme
sleep,Extreme,Extreme,Extreme,Extreme
smb-vuln,Extreme,Extreme,Extreme,Extreme
smbclient,Extreme,Extreme,Extreme,Extreme
smbmap,Extreme,Extreme,Extreme,Extreme
snmpwalk,Extreme,Extreme,Extreme,Extreme
SslTrustAll,Extreme,Extreme,Extreme,Extreme
subprocess_mixin,Extreme,Extreme,Extreme,Extreme
subprocess_runner,Extreme,Extreme,Extreme,Extreme
terminal_ws_unix,Extreme,Extreme,Extreme,Extreme
terrascan,Extreme,Extreme,Extreme,Extreme
test_cli_vps_count,Extreme,Extreme,Extreme,Extreme
test_ensure_webs_all,Extreme,Extreme,Extreme,Extreme
test_exec_context,Extreme,Extreme,Extreme,Extreme
test_injection,Extreme,Extreme,Extreme,Extreme
test_mcp_setup,Extreme,Extreme,Extreme,Extreme
test_permutation_wordlist_select,Extreme,Extreme,Extreme,Extreme
test_process_registry,Extreme,Extreme,Extreme,Extreme
test_profile_migration,Extreme,Extreme,Extreme,Extreme
test_resolver_env,Extreme,Extreme,Extreme,Extreme
test_secure_credential,Extreme,Extreme,Extreme,Extreme
test_target_expander,Extreme,Extreme,Extreme,Extreme
test_tracing_coverage,Extreme,Extreme,Extreme,Extreme
test_verbosity,Extreme,Extreme,Extreme,Extreme
trivy,Extreme,Extreme,Extreme,Extreme
tsconfig,Extreme,Extreme,Extreme,Extreme
tsconfigbase,Extreme,Extreme,Extreme,Extreme
tsconfig_1,Extreme,Extreme,Extreme,Extreme
turbo,Extreme,Extreme,Extreme,Extreme
webhooks,Extreme,Extreme,Extreme,Extreme
whatweb,Extreme,Extreme,Extreme,Extreme
winrm-detection,Extreme,Extreme,Extreme,Extreme
wordlist_test,Extreme,Extreme,Extreme,Extreme
_13,Extreme,Extreme,Extreme,Extreme
__init___201,Extreme,Extreme,Extreme,Extreme
__init___205,Extreme,Extreme,Extreme,Extreme
__init___51,Extreme,Extreme,Extreme,Extreme
activity-logger,Extreme,Extreme,Extreme,Extreme
activity-logger_1,Extreme,Extreme,Extreme,Extreme
bloodhound,Extreme,Extreme,Extreme,Extreme
domain-profiler,Extreme,Extreme,Extreme,Extreme
error-formatter,Extreme,Extreme,Extreme,Extreme
feature_request,Extreme,Extreme,Extreme,Extreme
file-io,Extreme,Extreme,Extreme,Extreme
file-operations,Extreme,Extreme,Extreme,Extreme
glob,Extreme,Extreme,Extreme,Extreme
input-validator,Extreme,Extreme,Extreme,Extreme
junit_xml,Extreme,Extreme,Extreme,Extreme
Keygraph_Button,Extreme,Extreme,Extreme,Extreme
metrics_1,Extreme,Extreme,Extreme,Extreme
progress-indicator,Extreme,Extreme,Extreme,Extreme
totp-validator,Extreme,Extreme,Extreme,Extreme
__init___207,Extreme,Extreme,Extreme,Extreme
ARCHITECTURE_2,Extreme,Extreme,Extreme,Extreme
bucket_exposure_engine,Extreme,Extreme,Extreme,Extreme
codeql,Extreme,Extreme,Extreme,Extreme
codeql-analysis,Extreme,Extreme,Extreme,Extreme
conversation_manager,Extreme,Extreme,Extreme,Extreme
dep-auto-merge,Extreme,Extreme,Extreme,Extreme
eino_meta,Extreme,Extreme,Extreme,Extreme
execution-runner,Extreme,Extreme,Extreme,Extreme
functional,Extreme,Extreme,Extreme,Extreme
gosum,Extreme,Extreme,Extreme,Extreme
health-monitor,Extreme,Extreme,Extreme,Extreme
index_2,Extreme,Extreme,Extreme,Extreme
meta-cognition,Extreme,Extreme,Extreme,Extreme
naabu,Extreme,Extreme,Extreme,Extreme
queue-validator,Extreme,Extreme,Extreme,Extreme
README_25,Extreme,Extreme,Extreme,Extreme
README_9,Extreme,Extreme,Extreme,Extreme
recorder,Extreme,Extreme,Extreme,Extreme
release-binary,Extreme,Extreme,Extreme,Extreme
release-test,Extreme,Extreme,Extreme,Extreme
rustscan_2,Extreme,Extreme,Extreme,Extreme
tests,Extreme,Extreme,Extreme,Extreme
update,Extreme,Extreme,Extreme,Extreme
vulnerability_1,Extreme,Extreme,Extreme,Extreme
__init___147,Extreme,Extreme,Extreme,Extreme
__init___224,Extreme,Extreme,Extreme,Extreme
__init___231,Extreme,Extreme,Extreme,Extreme
__init___57,Extreme,Extreme,Extreme,Extreme
auth_1,Extreme,Extreme,Extreme,Extreme
backfill-arch-data,Extreme,Extreme,Extreme,Extreme
conftest_1,Extreme,Extreme,Extreme,Extreme
contacts,Extreme,Extreme,Extreme,Extreme
COOKIES,Extreme,Extreme,Extreme,Extreme
credential_tester_agent,Extreme,Extreme,Extreme,Extreme
crtsh,Extreme,Extreme,Extreme,Extreme
email-osint-agent,Extreme,Extreme,Extreme,Extreme
environment,Extreme,Extreme,Extreme,Extreme
holehe,Extreme,Extreme,Extreme,Extreme
intel-collection,Extreme,Extreme,Extreme,Extreme
metadata,Extreme,Extreme,Extreme,Extreme
osint-collector,Extreme,Extreme,Extreme,Extreme
parsers_1,Extreme,Extreme,Extreme,Extreme
phoneinfoga,Extreme,Extreme,Extreme,Extreme
privacy_detect,Extreme,Extreme,Extreme,Extreme
sdk,Extreme,Extreme,Extreme,Extreme
smtp-user-enum,Extreme,Extreme,Extreme,Extreme
social_engineer_agent,Extreme,Extreme,Extreme,Extreme
splash-screen,Extreme,Extreme,Extreme,Extreme
test_probe_password_reset_weak,Extreme,Extreme,Extreme,Extreme
validation,Medium,Medium,Medium,Medium
vulnscan,Extreme,Extreme,Extreme,Extreme
whois_tool,Extreme,Extreme,Extreme,Extreme
_safety,Extreme,Extreme,Extreme,Extreme
__init___125,Extreme,Extreme,Extreme,Extreme
__init___128,Extreme,Extreme,Extreme,Extreme
arbiter,Extreme,Extreme,Extreme,Extreme
auth_2,Extreme,Extreme,Extreme,Extreme
debug-world-model,Extreme,Extreme,Extreme,Extreme
dotdotpwn,Extreme,Extreme,Extreme,Extreme
exposure_prioritizer,Extreme,Extreme,Extreme,Extreme
fingerprint_correlator,Extreme,Extreme,Extreme,Extreme
index_15,Extreme,Extreme,Extreme,Extreme
index_16,Extreme,Extreme,Extreme,Extreme
lint_python,Extreme,Extreme,Extreme,Extreme
main_7,Extreme,Extreme,Extreme,Extreme
model-registry,Extreme,Extreme,Extreme,Extreme
netexec,Extreme,Extreme,Extreme,Extreme
package,Extreme,Extreme,Extreme,Extreme
plugin_loader,Extreme,Extreme,Extreme,Extreme
portscan-guess-tcp-ports,Extreme,Extreme,Extreme,Extreme
README_12,Extreme,Extreme,Extreme,Extreme
registry_3,Extreme,Extreme,Extreme,Extreme
releaserc,Extreme,Extreme,Extreme,Extreme
renderers,Extreme,Extreme,Extreme,Extreme
test_plugin_loader,Extreme,Extreme,Extreme,Extreme
tools_commands,Extreme,Extreme,Extreme,Extreme
tooltipcpython-313,Extreme,Extreme,Extreme,Extreme
validatorcpython-313,Extreme,Extreme,Extreme,Extreme
volatility3,Extreme,Extreme,Extreme,Extreme
whatweb_2,Extreme,Extreme,Extreme,Extreme
__init__cpython-313,Extreme,Extreme,Extreme,Extreme
__init__cpython-313_1,Extreme,Extreme,Extreme,Extreme
__init___212,Extreme,Extreme,Extreme,Extreme
__init___213,Extreme,Extreme,Extreme,Extreme
__init___214,Extreme,Extreme,Extreme,Extreme
__init___215,Extreme,Extreme,Extreme,Extreme
__init___216,Extreme,Extreme,Extreme,Extreme
__init___217,Extreme,Extreme,Extreme,Extreme
__init___28,Extreme,Extreme,Extreme,Extreme
__init___43,Extreme,Extreme,Extreme,Extreme
__init___58,Extreme,Extreme,Extreme,Extreme
__init___71,Extreme,Extreme,Extreme,Extreme
2dd29513_findings,Extreme,Extreme,Extreme,Extreme
2dd29513_run_B_safe,Extreme,Extreme,Extreme,Extreme
acquifinder,Extreme,Extreme,Extreme,Extreme
active-crawl,Extreme,Extreme,Extreme,Extreme
active_recon,Extreme,Extreme,Extreme,Extreme
active_scanning,Extreme,Extreme,Extreme,Extreme
ad-attacker,Extreme,Extreme,Extreme,Extreme
adapter,Extreme,Extreme,Extreme,Extreme
addr,Extreme,Extreme,Extreme,Extreme
agent,Extreme,Extreme,Extreme,Extreme
AGENTS,Extreme,Extreme,Extreme,Extreme
AGENTS_1,Extreme,Extreme,Extreme,Extreme
agent_3,Extreme,Extreme,Extreme,Extreme
agent_loop,Extreme,Extreme,Extreme,Extreme
alerts,Extreme,Extreme,Extreme,Extreme
alerts_1,Extreme,Extreme,Extreme,Extreme
alienvault,Extreme,Extreme,Extreme,Extreme
alterx,Extreme,Extreme,Extreme,Extreme
amass,Extreme,Extreme,Extreme,Extreme
amass_2,Extreme,Extreme,Extreme,Extreme
analyze_repos,Extreme,Extreme,Extreme,Extreme
anomaly_detector,Extreme,Extreme,Extreme,Extreme
anomaly_engine,Extreme,Extreme,Extreme,Extreme
anthropic,Extreme,Extreme,Extreme,Extreme
anubis,Extreme,Extreme,Extreme,Extreme
apex,Extreme,Extreme,Extreme,Extreme
api-security,Extreme,Extreme,Extreme,Extreme
api_attack_surface,Extreme,Extreme,Extreme,Extreme
api_fingerprint,Extreme,Extreme,Extreme,Extreme
api_models,Extreme,Extreme,Extreme,Extreme
api_path_discovery,Extreme,Extreme,Extreme,Extreme
api_security_agent,Extreme,Extreme,Extreme,Extreme
api_surface_mapper,Extreme,Extreme,Extreme,Extreme
apply_triage_labels,Extreme,Extreme,Extreme,Extreme
aquatone,Extreme,Extreme,Extreme,Extreme
architect-infer-agent,Extreme,Extreme,Extreme,Extreme
ARCHITECTURE,Extreme,Extreme,Extreme,Extreme
ARCHITECTURE_1,Extreme,Extreme,Extreme,Extreme
arjun_tool,Extreme,Extreme,Extreme,Extreme
artifact-manifest,Extreme,Extreme,Extreme,Extreme
asn,Extreme,Extreme,Extreme,Extreme
asncache,Extreme,Extreme,Extreme,Extreme
asnmap,Extreme,Extreme,Extreme,Extreme
asn_intel,Extreme,Extreme,Extreme,Extreme
assetfinder,Extreme,Extreme,Extreme,Extreme
assets,Extreme,Extreme,Extreme,Extreme
assets_test,Extreme,Extreme,Extreme,Extreme
asset_classifier,Extreme,Extreme,Extreme,Extreme
asset_decode,Extreme,Extreme,Extreme,Extreme
asset_secrets_scan,Extreme,Extreme,Extreme,Extreme
assoc,Extreme,Extreme,Extreme,Extreme
attack-chain,Extreme,Extreme,Extreme,Extreme
attack-planner,Extreme,Extreme,Extreme,Extreme
attack-surface-enumeration,Extreme,Extreme,Extreme,Extreme
attack_surface_mapper,Extreme,Extreme,Extreme,Extreme
attack_surface_mapping,Extreme,Extreme,Extreme,Extreme
auth-flow-analyzer,Extreme,Extreme,Extreme,Extreme
authed-findings,Extreme,Extreme,Extreme,Extreme
authed-stderr,Extreme,Extreme,Extreme,Extreme
authenticated_scan,Extreme,Extreme,Extreme,Extreme
auth_handler,Extreme,Extreme,Extreme,Extreme
auth_session,Extreme,Extreme,Extreme,Extreme
autnum,Extreme,Extreme,Extreme,Extreme
autsys,Extreme,Extreme,Extreme,Extreme
autsys_1,Extreme,Extreme,Extreme,Extreme
axiom,Medium,Medium,Medium,Medium
backlog,Extreme,Extreme,Extreme,Extreme
backlog_1,Extreme,Extreme,Extreme,Extreme
backlog_test,Extreme,Extreme,Extreme,Extreme
banner,Extreme,Extreme,Extreme,Extreme
banners,Extreme,Extreme,Extreme,Extreme
banner_3,Extreme,Extreme,Extreme,Extreme
banner_url,Extreme,Extreme,Extreme,Extreme
base,Extreme,Extreme,Extreme,Extreme
base_3,Extreme,Extreme,Extreme,Extreme
base_5,Extreme,Extreme,Extreme,Extreme
benchmark_juice_shop,Extreme,Extreme,Extreme,Extreme
bevigil,Extreme,Extreme,Extreme,Extreme
bigbountyrecon,Extreme,Extreme,Extreme,Extreme
binaryedge,Extreme,Extreme,Extreme,Extreme
bing,Extreme,Extreme,Extreme,Extreme
blackbox-config-agent,Extreme,Extreme,Extreme,Extreme
blackbox-context,Extreme,Extreme,Extreme,Extreme
blacklist_test,Extreme,Extreme,Extreme,Extreme
book,Extreme,Extreme,Extreme,Extreme
browser-crawler-agent,Extreme,Extreme,Extreme,Extreme
browser_agent,Extreme,Extreme,Extreme,Extreme
bufferover,Extreme,Extreme,Extreme,Extreme
bufferoverrun,Extreme,Extreme,Extreme,Extreme
bug-bounty,Extreme,Extreme,Extreme,Extreme
bug_2,Extreme,Extreme,Extreme,Extreme
bug_report_2,Extreme,Extreme,Extreme,Extreme
bug_report_3,Extreme,Extreme,Extreme,Extreme
build-test,Extreme,Extreme,Extreme,Extreme
builder,Extreme,Extreme,Extreme,Extreme
builtwith,Extreme,Extreme,Extreme,Extreme
burp_suite,Extreme,Extreme,Extreme,Extreme
business_logic_fuzz,Extreme,Extreme,Extreme,Extreme
c1ae665a_findings,Extreme,Extreme,Extreme,Extreme
c1ae665a_run_A_default,Extreme,Extreme,Extreme,Extreme
c2-operator,Extreme,Extreme,Extreme,Extreme
c2_1,Extreme,Extreme,Extreme,Extreme
c99,Extreme,Extreme,Extreme,Extreme
capability_map,Extreme,Extreme,Extreme,Extreme
categories,Extreme,Extreme,Extreme,Extreme
censys,Extreme,Extreme,Extreme,Extreme
censys_test,Extreme,Extreme,Extreme,Extreme
certspotter,Extreme,Extreme,Extreme,Extreme
certspotter_2,Extreme,Extreme,Extreme,Extreme
chain_agent,Extreme,Extreme,Extreme,Extreme
CHANGELOG,Extreme,Extreme,Extreme,Extreme
CHANGELOG_121,Extreme,Extreme,Extreme,Extreme
CHANGELOG_122,Extreme,Extreme,Extreme,Extreme
CHANGELOG_123,Extreme,Extreme,Extreme,Extreme
CHANGELOG_13,Extreme,Extreme,Extreme,Extreme
CHANGELOG_14,Extreme,Extreme,Extreme,Extreme
CHANGELOG_15,Extreme,Extreme,Extreme,Extreme
CHANGELOG_16,Extreme,Extreme,Extreme,Extreme
CHANGELOG_17,Extreme,Extreme,Extreme,Extreme
CHANGELOG_18,Extreme,Extreme,Extreme,Extreme
CHANGELOG_181,Extreme,Extreme,Extreme,Extreme
CHANGELOG_182,Extreme,Extreme,Extreme,Extreme
CHANGELOG_19,Extreme,Extreme,Extreme,Extreme
CHANGELOG_2,Extreme,Extreme,Extreme,Extreme
CHANGELOG_20,Extreme,Extreme,Extreme,Extreme
CHANGELOG_3,Extreme,Extreme,Extreme,Extreme
chaos,Extreme,Extreme,Extreme,Extreme
chaos_2,Extreme,Extreme,Extreme,Extreme
chat_uploads,Extreme,Extreme,Extreme,Extreme
check_artifacts,Medium,Medium,Medium,Medium
check_artifacts_all,Medium,Medium,Medium,Medium
chinaz,Extreme,Extreme,Extreme,Extreme
chunk_eino,Extreme,Extreme,Extreme,Extreme
ci-cd,Extreme,Extreme,Extreme,Extreme
cicd-redteam,Extreme,Extreme,Extreme,Extreme
claims,Extreme,Extreme,Extreme,Extreme
CLAUDE_4,Extreme,Extreme,Extreme,Extreme
client_1,Extreme,Extreme,Extreme,Extreme
client_4,Extreme,Extreme,Extreme,Extreme
clitest,Extreme,Extreme,Extreme,Extreme
cli_1,Extreme,Extreme,Extreme,Extreme
cli_2,Extreme,Extreme,Extreme,Extreme
cli_3,Extreme,Extreme,Extreme,Extreme
cli_4,Extreme,Extreme,Extreme,Extreme
cli_5,Extreme,Extreme,Extreme,Extreme
cname,Extreme,Extreme,Extreme,Extreme
codecov,Extreme,Extreme,Extreme,Extreme
commoncrawl,Extreme,Extreme,Extreme,Extreme
common_2,Medium,Medium,Medium,Medium
company_enrich,Extreme,Extreme,Extreme,Extreme
company_rounds,Extreme,Extreme,Extreme,Extreme
company_search,Extreme,Extreme,Extreme,Extreme
compare_baseline,Medium,Medium,Medium,Medium
compliance,Extreme,Extreme,Extreme,Extreme
confidence_engine,Extreme,Extreme,Extreme,Extreme
config-parser,Extreme,Extreme,Extreme,Extreme
config-schema,Extreme,Extreme,Extreme,Extreme
config-schema_1,Extreme,Extreme,Extreme,Extreme
configtest,Extreme,Extreme,Extreme,Extreme
configure_mcp,Extreme,Extreme,Extreme,Extreme
config_1,Extreme,Extreme,Extreme,Extreme
config_test,Extreme,Extreme,Extreme,Extreme
const,Extreme,Extreme,Extreme,Extreme
constants_1,Extreme,Extreme,Extreme,Extreme
contact,Extreme,Extreme,Extreme,Extreme
container-api,Extreme,Extreme,Extreme,Extreme
content-discovery-agent,Extreme,Extreme,Extreme,Extreme
content_discovery,Extreme,Extreme,Extreme,Extreme
context_analyzer,Extreme,Extreme,Extreme,Extreme
contracts,Extreme,Extreme,Extreme,Extreme
CONTRIBUTING,Extreme,Extreme,Extreme,Extreme
CONTRIBUTING_5,Extreme,Extreme,Extreme,Extreme
cookie_prefix_bypass,Extreme,Extreme,Extreme,Extreme
core,Medium,Medium,Medium,Medium
correlation_engine,Extreme,Extreme,Extreme,Extreme
COVERAGE,Extreme,Extreme,Extreme,Extreme
COVERAGE_1,Extreme,Extreme,Extreme,Extreme
crawler,Extreme,Extreme,Extreme,Extreme
crawler-agent,Extreme,Extreme,Extreme,Extreme
crawlercpython-313,Extreme,Extreme,Extreme,Extreme
crawler_1,Extreme,Extreme,Extreme,Extreme
crawler_2,Extreme,Extreme,Extreme,Extreme
crawler_3,Extreme,Extreme,Extreme,Extreme
credential-tester,Extreme,Extreme,Extreme,Extreme
credentialed-scans,Extreme,Extreme,Extreme,Extreme
crlfuzz,Extreme,Extreme,Extreme,Extreme
crtsh_1,Extreme,Extreme,Extreme,Extreme
crtsh_3,Extreme,Extreme,Extreme,Extreme
csp_extractor,Extreme,Extreme,Extreme,Extreme
ctf-solver,Extreme,Extreme,Extreme,Extreme
curl,Extreme,Extreme,Extreme,Extreme
dalfox,Extreme,Extreme,Extreme,Extreme
dashboard_1,Extreme,Extreme,Extreme,Extreme
data-flow-mapper,Extreme,Extreme,Extreme,Extreme
database_1,Extreme,Extreme,Extreme,Extreme
datasources,Extreme,Extreme,Extreme,Extreme
DeathNote_1,Extreme,Extreme,Extreme,Extreme
decision_engine,Extreme,Extreme,Extreme,Extreme
decision_engine_1,Extreme,Extreme,Extreme,Extreme
dedup,Extreme,Extreme,Extreme,Extreme
deduplicator,Extreme,Extreme,Extreme,Extreme
DEPENDENCIES,Extreme,Extreme,Extreme,Extreme
DESIGN-FEATURES,Extreme,Extreme,Extreme,Extreme
detection-engineer,Extreme,Extreme,Extreme,Extreme
detection_engine,Extreme,Extreme,Extreme,Extreme
diff,Extreme,Extreme,Extreme,Extreme
digitalyama,Extreme,Extreme,Extreme,Extreme
digitorus,Extreme,Extreme,Extreme,Extreme
ding,Extreme,Extreme,Extreme,Extreme
dirbrute,Extreme,Extreme,Extreme,Extreme
dirbuster,Extreme,Extreme,Extreme,Extreme
dirbuster_2,Extreme,Extreme,Extreme,Extreme
directories,Extreme,Extreme,Extreme,Extreme
dirsearch,Extreme,Extreme,Extreme,Extreme
dirsearch_2,Extreme,Extreme,Extreme,Extreme
dirsearch_tool,Extreme,Extreme,Extreme,Extreme
DISCLAIMER_2,Extreme,Extreme,Extreme,Extreme
dispatch,Extreme,Extreme,Extreme,Extreme
dispatcher,Extreme,Extreme,Extreme,Extreme
dns,Extreme,Extreme,Extreme,Extreme
dns-reverse-lookup,Extreme,Extreme,Extreme,Extreme
dns-zone-transfer,Extreme,Extreme,Extreme,Extreme
dnsdb,Extreme,Extreme,Extreme,Extreme
dnsdumpster,Extreme,Extreme,Extreme,Extreme
dnsenum,Extreme,Extreme,Extreme,Extreme
dnsenum_tool,Extreme,Extreme,Extreme,Extreme
dnshistory,Extreme,Extreme,Extreme,Extreme
dnslog,Extreme,Extreme,Extreme,Extreme
dnsrecon,Extreme,Extreme,Extreme,Extreme
dnsrecon-subdomain-bruteforce,Extreme,Extreme,Extreme,Extreme
dnsrecon_tool,Extreme,Extreme,Extreme,Extreme
dnsrepo,Extreme,Extreme,Extreme,Extreme
dnsrepo_2,Extreme,Extreme,Extreme,Extreme
dnsx,Extreme,Extreme,Extreme,Extreme
dnsx_tool,Extreme,Extreme,Extreme,Extreme
dns_extractor,Extreme,Extreme,Extreme,Extreme
dns_intelligence,Extreme,Extreme,Extreme,Extreme
dns_pipeline,Extreme,Extreme,Extreme,Extreme
dns_test,Extreme,Extreme,Extreme,Extreme
dns_tool,Extreme,Extreme,Extreme,Extreme
doc,Extreme,Extreme,Extreme,Extreme
Dockerfile,Extreme,Extreme,Extreme,Extreme
Dockerfile_1,Extreme,Extreme,Extreme,Extreme
Dockerfile_10,Extreme,Extreme,Extreme,Extreme
Dockerfile_11,Extreme,Extreme,Extreme,Extreme
Dockerfile_2,Extreme,Extreme,Extreme,Extreme
Dockerfile_5,Extreme,Extreme,Extreme,Extreme
Dockerfile_6,Extreme,Extreme,Extreme,Extreme
Dockerfile_8,Extreme,Extreme,Extreme,Extreme
dockerhub-push,Extreme,Extreme,Extreme,Extreme
docs,Extreme,Extreme,Extreme,Extreme
docs_1,Extreme,Extreme,Extreme,Extreme
doctor,Medium,Medium,Medium,Medium
doc_1,Extreme,Extreme,Extreme,Extreme
doc_2,Extreme,Extreme,Extreme,Extreme
domainsproject,Extreme,Extreme,Extreme,Extreme
domain_record,Extreme,Extreme,Extreme,Extreme
dom_xss,Extreme,Extreme,Extreme,Extreme
dot,Extreme,Extreme,Extreme,Extreme
dot_test,Extreme,Extreme,Extreme,Extreme
driftnet,Extreme,Extreme,Extreme,Extreme
duckduckgo,Extreme,Extreme,Extreme,Extreme
efd01c52_findings,Extreme,Extreme,Extreme,Extreme
efd01c52_llm_coordinated_run,Extreme,Extreme,Extreme,Extreme
efd01c52_probe_runs,Extreme,Extreme,Extreme,Extreme
eino_tool_name_injection,Extreme,Extreme,Extreme,Extreme
email,Extreme,Extreme,Extreme,Extreme
employees,Extreme,Extreme,Extreme,Extreme
en-US,Extreme,Extreme,Extreme,Extreme
engine,Extreme,Extreme,Extreme,Extreme
engineapi,Extreme,Extreme,Extreme,Extreme
engine_1,Extreme,Extreme,Extreme,Extreme
enhanced-report,Extreme,Extreme,Extreme,Extreme
enumerate,Extreme,Extreme,Extreme,Extreme
enumerate_test,Extreme,Extreme,Extreme,Extreme
epistemic-reasoning,Extreme,Extreme,Extreme,Extreme
evaluator,Extreme,Extreme,Extreme,Extreme
EVIDENCE,Extreme,Extreme,Extreme,Extreme
evidence-graph,Extreme,Extreme,Extreme,Extreme
evidence-normalizers,Extreme,Extreme,Extreme,Extreme
example-blackbox-config,Extreme,Extreme,Extreme,Extreme
example-config,Extreme,Extreme,Extreme,Extreme
example-config_1,Extreme,Extreme,Extreme,Extreme
example-detection-rule,Extreme,Extreme,Extreme,Extreme
example-engagement-plan,Extreme,Extreme,Extreme,Extreme
example-nmap-analysis,Extreme,Extreme,Extreme,Extreme
example-report-excerpt,Extreme,Extreme,Extreme,Extreme
example_sqlmap,Extreme,Extreme,Extreme,Extreme
example_sqlmap_1,Extreme,Extreme,Extreme,Extreme
execution,Extreme,Extreme,Extreme,Extreme
execution-log,Extreme,Extreme,Extreme,Extreme
execution_view,Extreme,Extreme,Extreme,Extreme
